id,qb_question,qb_answer,qb_choice1,qb_choice2,qb_choice3,qb_topic_id,topic,qa,qa_pos,qa_pos_bigram,qa_pos_trigram,qa_parse_tree,ss,ss_pos,ss_pos_bigram,ss_pos_trigram,ss_parse_tree,before,before_last,before_last_pos,before_pos,before_pos_bigram,before_pos_trigram,before_parse_tree,after,after_first,after_first_pos,after_pos,after_pos_bigram,after_pos_trigram,after_parse_tree,ans,ans_first,ans_last,ans_pos,ans_first_pos,ans_last_pos,ans_is_first,ans_is_last,ans_length
873,She moved the boxes * the shelves.,onto,into,na,na,1,prepositions,She moved the boxes onto the shelves.,PRP VBD DT NNS IN DT NN,PRP_VBD VBD_DT DT_NNS NNS_IN IN_DT DT_NN,PRP_VBD_DT VBD_DT_NNS DT_NNS_IN NNS_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBD_NP_PP NP_DT_NNS PP_IN_NP NP_DT_NNS,She moved the boxes onto the shelves,PRP VBD DT NNS IN DT NNS,PRP_VBD VBD_DT DT_NNS NNS_IN IN_DT DT_NNS,PRP_VBD_DT VBD_DT_NNS DT_NNS_IN NNS_IN_DT IN_DT_NNS,S_NP_VP NP_PRP VP_VBD_NP_PP NP_DT_NNS PP_IN_NP NP_DT_NNS,She moved the boxes,boxes,NNS,PRP VBD DT NNS,PRP_VBD VBD_DT DT_NNS,PRP_VBD_DT VBD_DT_NNS,S_NP_VP NP_PRP VP_VBD_NP NP_DT_NNS,the shelves,the,DT,DT NNS,DT_NNS,,NP_DT_NNS,onto,onto,onto,IN,IN,IN,y,y,1.0
874,She went * the basement to look for old photos.,into,onto,na,na,1,prepositions,She went into the basement to look for old photos.,PRP VBD IN DT NN TO VB IN JJ NN,PRP_VBD VBD_IN IN_DT DT_NN NN_TO TO_VB VB_IN IN_JJ JJ_NN,PRP_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_TO NN_TO_VB TO_VB_IN VB_IN_JJ IN_JJ_NN,S_NP_VP_. NP_PRP VP_VBD_PP_S PP_IN_NP NP_DT_NN S_VP VP_TO_VP VP_VB_PP PP_IN_NP NP_JJ_NNS,She went into the basement to look,PRP VBD IN DT NN TO VB,PRP_VBD VBD_IN IN_DT DT_NN NN_TO TO_VB,PRP_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_TO NN_TO_VB,S_NP_VP NP_PRP VP_VBD_PP_S PP_IN_NP NP_DT_NN S_VP VP_TO_VP VP_VB,She went,went,VBD,PRP VBD,PRP_VBD,,S_NP_VP NP_PRP VP_VBD,the basement to look,the,DT,DT NN TO VB,DT_NN NN_TO TO_VB,DT_NN_TO NN_TO_VB,FRAG_NP NP_DT_NN_S S_VP VP_TO_VP VP_VB,into,into,into,IN,IN,IN,y,y,1.0
875,There is a strawberry farm * the fields.,beyond,over,na,na,1,prepositions,There is a strawberry farm beyond the fields.,EX VBZ DT JJ NN IN DT NN,EX_VBZ VBZ_DT DT_JJ JJ_NN NN_IN IN_DT DT_NN,EX_VBZ_DT VBZ_DT_JJ DT_JJ_NN JJ_NN_IN NN_IN_DT IN_DT_NN,S_NP_VP_. NP_EX VP_VBZ_NP NP_NP_PP NP_DT_JJ_NN PP_IN_NP NP_DT_NNS,is a strawberry farm beyond the fields,VBZ DT JJ NN IN DT NNS,VBZ_DT DT_JJ JJ_NN NN_IN IN_DT DT_NNS,VBZ_DT_JJ DT_JJ_NN JJ_NN_IN NN_IN_DT IN_DT_NNS,S_VP VP_VBZ_NP NP_NP_PP NP_DT_JJ_NN PP_IN_NP NP_DT_NNS,is a strawberry farm,farm,NN,VBZ DT JJ NN,VBZ_DT DT_JJ JJ_NN,VBZ_DT_JJ DT_JJ_NN,SQ_VBZ_NP NP_DT_JJ_NN,the fields,the,DT,DT NNS,DT_NNS,,NP_DT_NNS,beyond,beyond,beyond,IN,IN,IN,y,y,1.0
876,The tiger jumped * the fallen tree to catch its prey.,over,across,na,na,1,prepositions,The tiger jumped over the fallen tree to catch its prey.,DT NN VBD IN DT VBN NN TO VB PRP$ NN,DT_NN NN_VBD VBD_IN IN_DT DT_VBN VBN_NN NN_TO TO_VB VB_PRP$ PRP$_NN,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_VBN DT_VBN_NN VBN_NN_TO NN_TO_VB TO_VB_PRP$ VB_PRP$_NN,S_NP_VP_. NP_DT_NN VP_VBD_PP PP_IN_NP NP_DT_VBN_NN_S S_VP VP_TO_VP VP_VB_NP NP_PRP$_NN,The tiger jumped over the fallen tree to,DT NN VBD IN DT VBN NN TO,DT_NN NN_VBD VBD_IN IN_DT DT_VBN VBN_NN NN_TO,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_VBN DT_VBN_NN VBN_NN_TO,S_NP_VP NP_DT_NN VP_VBD_PRT_NP_PP PRT_RP NP_DT_VBN_NN PP_IN,The tiger jumped,jumped,NN,DT NN VBD,DT_NN NN_VBD,DT_NN_VBD,S_NP_VP NP_DT_NN VP_VBD,the fallen tree to,the,DT,DT VBN NN TO,DT_VBN VBN_NN NN_TO,DT_VBN_NN VBN_NN_TO,FRAG_NP_PP NP_DT_JJ_NN PP_IN,over,over,over,IN,IN,IN,y,y,1.0
877,He looked * the cabinet and found his slippers.,under,within,na,na,1,prepositions,He looked under the cabinet and found his slippers.,PRP VBD IN DT NN CC VBD PRP$ NN,PRP_VBD VBD_IN IN_DT DT_NN NN_CC CC_VBD VBD_PRP$ PRP$_NN,PRP_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_CC NN_CC_VBD CC_VBD_PRP$ VBD_PRP$_NN,S_NP_VP_. NP_PRP VP_VP_CC_VP VP_VBD_PP PP_IN_NP NP_DT_NN VP_VBD_NP NP_PRP$_NNS,He looked under the cabinet and found,PRP VBD IN DT NN CC VBD,PRP_VBD VBD_IN IN_DT DT_NN NN_CC CC_VBD,PRP_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_CC NN_CC_VBD,S_NP_VP NP_PRP VP_VP_CC_VP VP_VBD_PP PP_IN_NP NP_DT_NN VP_VBD,He looked,looked,VBD,PRP VBD,PRP_VBD,,S_NP_VP NP_PRP VP_VBD,the cabinet and found,the,DT,DT NN CC VBD,DT_NN NN_CC CC_VBD,DT_NN_CC NN_CC_VBD,UCP_NP_CC_S NP_DT_NN S_VP VP_VBN,under,under,under,IN,IN,IN,y,y,1.0
878,I was walking * her throughout the hike.,behind,before,na,na,1,prepositions,I was walking behind her throughout the hike.,PRP VBD VBG IN PRP IN DT NN,PRP_VBD VBD_VBG VBG_IN IN_PRP PRP_IN IN_DT DT_NN,PRP_VBD_VBG VBD_VBG_IN VBG_IN_PRP IN_PRP_IN PRP_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBD_VP VP_VBG_PP_PP PP_IN_NP NP_PRP PP_IN_NP NP_DT_NN,I was walking behind her throughout the hike,PRP VBD VBG IN PRP IN DT NN,PRP_VBD VBD_VBG VBG_IN IN_PRP PRP_IN IN_DT DT_NN,PRP_VBD_VBG VBD_VBG_IN VBG_IN_PRP IN_PRP_IN PRP_IN_DT IN_DT_NN,S_NP_VP NP_PRP VP_VBD_VP VP_VBG_PP_PP PP_IN_NP NP_PRP PP_IN_NP NP_DT_NN,I was walking,walking,VBG,PRP VBD VBG,PRP_VBD VBD_VBG,PRP_VBD_VBG,S_NP_VP NP_PRP VP_VBD_VP VP_VBG,her throughout the hike,her,PRP$,PRP$ IN DT NN,PRP$_IN IN_DT DT_NN,PRP$_IN_DT IN_DT_NN,NP_NP_PP NP_PRP PP_IN_NP NP_DT_NN,behind,behind,behind,IN,IN,IN,y,y,1.0
879,I managed to complete this project * a month.,within,during,na,na,1,prepositions,I managed to complete this project within a month.,PRP VBD TO VB DT NN IN DT NN,PRP_VBD VBD_TO TO_VB VB_DT DT_NN NN_IN IN_DT DT_NN,PRP_VBD_TO VBD_TO_VB TO_VB_DT VB_DT_NN DT_NN_IN NN_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBD_S S_VP VP_TO_VP VP_VB_NP_PP NP_DT_NN PP_IN_NP NP_DT_NN,to complete this project within a month,TO VB DT NN IN DT NN,TO_VB VB_DT DT_NN NN_IN IN_DT DT_NN,TO_VB_DT VB_DT_NN DT_NN_IN NN_IN_DT IN_DT_NN,S_VP VP_TO_VP VP_VB_NP_PP NP_DT_NN PP_IN_NP NP_DT_NN,to complete this project,project,NN,TO VB DT NN,TO_VB VB_DT DT_NN,TO_VB_DT VB_DT_NN,S_VP VP_TO_VP VP_VB_NP NP_DT_NN,a month,a,DT,DT NN,DT_NN,,NP_DT_NN,within,within,within,IN,IN,IN,y,y,1.0
880,The bus moved * before I could find a seat.,off,on,na,na,1,prepositions,The bus moved off before I could find a seat.,DT NN VBD RP IN PRP MD VB DT NN,DT_NN NN_VBD VBD_RP RP_IN IN_PRP PRP_MD MD_VB VB_DT DT_NN,DT_NN_VBD NN_VBD_RP VBD_RP_IN RP_IN_PRP IN_PRP_MD PRP_MD_VB MD_VB_DT VB_DT_NN,S_NP_VP_. NP_DT_NN VP_VBD_PRT_SBAR PRT_RP SBAR_IN_S S_NP_VP NP_PRP VP_MD_VP VP_VB_NP NP_DT_NN,The bus moved off before I could find,DT NN VBD RP IN PRP MD VB,DT_NN NN_VBD VBD_RP RP_IN IN_PRP PRP_MD MD_VB,DT_NN_VBD NN_VBD_RP VBD_RP_IN RP_IN_PRP IN_PRP_MD PRP_MD_VB,S_NP_VP NP_DT_NN VP_VBD_PRT_SBAR PRT_RP SBAR_IN_S S_NP_VP NP_PRP VP_MD_VP VP_VB,The bus moved,moved,VBN,DT NN VBD,DT_NN NN_VBD,DT_NN_VBD,S_NP_VP NP_DT_NN VP_VBD,before I could find,before,IN,IN PRP MD VB,IN_PRP PRP_MD MD_VB,IN_PRP_MD PRP_MD_VB,S_ADVP_NP_VP ADVP_RB NP_PRP VP_MD_VP VP_VB,off,off,off,IN,IN,IN,y,y,1.0
881,She felt the wind blowing * her as she sprinted to the finishing line.,against,across,na,na,1,prepositions,She felt the wind blowing against her as she sprinted to the finishing line.,PRP VBD DT NN NN IN PRP IN PRP VBD TO DT NN NN,PRP_VBD VBD_DT DT_NN NN_NN NN_IN IN_PRP PRP_IN IN_PRP PRP_VBD VBD_TO TO_DT DT_NN NN_NN,PRP_VBD_DT VBD_DT_NN DT_NN_NN NN_NN_IN NN_IN_PRP IN_PRP_IN PRP_IN_PRP IN_PRP_VBD PRP_VBD_TO VBD_TO_DT TO_DT_NN DT_NN_NN,S_NP_VP_. NP_PRP VP_VBD_NP NP_NP_VP NP_DT_NN VP_VBG_PP_SBAR PP_IN_NP NP_PRP SBAR_IN_S S_NP_VP NP_PRP VP_VBD_PP PP_IN_NP NP_DT_VBG_NN,felt the wind blowing against her as she sprinted,VBD DT NN NN IN PRP IN PRP VBD,VBD_DT DT_NN NN_NN NN_IN IN_PRP PRP_IN IN_PRP PRP_VBD,VBD_DT_NN DT_NN_NN NN_NN_IN NN_IN_PRP IN_PRP_IN PRP_IN_PRP IN_PRP_VBD,S_VP VP_VBD_NP NP_NP_VP NP_DT_NN VP_VBG_PP_SBAR PP_IN_NP NP_PRP SBAR_IN_S S_NP_VP NP_PRP VP_VBD,felt the wind blowing,blowing,NN,VBD DT NN NN,VBD_DT DT_NN NN_NN,VBD_DT_NN DT_NN_NN,S_VP VP_VBD_NP NP_NP_VP NP_DT_NN VP_VBG,her as she sprinted,her,PRP$,PRP$ IN PRP VBD,PRP$_IN IN_PRP PRP_VBD,PRP$_IN_PRP IN_PRP_VBD,X_NP_SBAR NP_PRP SBAR_IN_S S_NP_VP NP_PRP VP_VBD,against,against,against,IN,IN,IN,y,y,1.0
882,The dog walked * the muddy garden into the house.,across,over,na,na,1,prepositions,The dog walked across the muddy garden into the house.,DT NN VBD IN DT NN NN IN DT NN,DT_NN NN_VBD VBD_IN IN_DT DT_NN NN_NN NN_IN IN_DT DT_NN,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_NN NN_NN_IN NN_IN_DT IN_DT_NN,S_NP_VP_. NP_DT_NN VP_VBD_PP_PP PP_IN_NP NP_DT_JJ_NN PP_IN_NP NP_DT_NN,The dog walked across the muddy garden into,DT NN VBD IN DT NN NN IN,DT_NN NN_VBD VBD_IN IN_DT DT_NN NN_NN NN_IN,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_NN NN_NN_IN,S_NP_VP NP_DT_NN VP_VBD_PP_PP PP_IN_NP NP_DT_JJ_NN PP_IN,The dog walked,walked,VBD,DT NN VBD,DT_NN NN_VBD,DT_NN_VBD,S_NP_VP NP_DT_NN VP_VBD,the muddy garden into,the,DT,DT JJ NN IN,DT_JJ JJ_NN NN_IN,DT_JJ_NN JJ_NN_IN,FRAG_NP_PP NP_DT_JJ_NN PP_IN,across,across,across,IN,IN,IN,y,y,1.0
883,The bus went * a long tunnel to reach the city.,through,throughout,na,na,1,prepositions,The bus went through a long tunnel to reach the city.,DT NN VBD IN DT JJ NN TO VB DT NN,DT_NN NN_VBD VBD_IN IN_DT DT_JJ JJ_NN NN_TO TO_VB VB_DT DT_NN,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_JJ DT_JJ_NN JJ_NN_TO NN_TO_VB TO_VB_DT VB_DT_NN,S_NP_VP_. NP_DT_NN VP_VBD_PP_S PP_IN_NP NP_DT_JJ_NN S_VP VP_TO_VP VP_VB_NP NP_DT_NN,The bus went through a long tunnel to,DT NN VBD IN DT JJ NN TO,DT_NN NN_VBD VBD_IN IN_DT DT_JJ JJ_NN NN_TO,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_JJ DT_JJ_NN JJ_NN_TO,S_NP_VP NP_DT_NN VP_VBD_PP_PP PP_IN_NP NP_DT_JJ_NN PP_IN,The bus went,went,VBD,DT NN VBD,DT_NN NN_VBD,DT_NN_VBD,S_NP_VP NP_DT_NN VP_VBD,a long tunnel to,a,DT,DT JJ NN TO,DT_JJ JJ_NN NN_TO,DT_JJ_NN JJ_NN_TO,FRAG_NP_PP NP_DT_JJ_NN PP_IN,through,through,through,IN,IN,IN,y,y,1.0
884,I was unable to stay awake * the show.,throughout,through,na,na,1,prepositions,I was unable to stay awake throughout the show.,PRP VBD JJ TO VB RB IN DT NN,PRP_VBD VBD_JJ JJ_TO TO_VB VB_RB RB_IN IN_DT DT_NN,PRP_VBD_JJ VBD_JJ_TO JJ_TO_VB TO_VB_RB VB_RB_IN RB_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBD_ADJP ADJP_JJ_S S_VP VP_TO_VP VP_VB_ADJP ADJP_JJ_PP PP_IN_NP NP_DT_NN,unable to stay awake throughout the show,JJ TO VB RB IN DT NN,JJ_TO TO_VB VB_RB RB_IN IN_DT DT_NN,JJ_TO_VB TO_VB_RB VB_RB_IN RB_IN_DT IN_DT_NN,FRAG_ADJP ADJP_JJ_S S_VP VP_TO_VP VP_VB_ADJP ADJP_JJ_PP PP_IN_NP NP_DT_NN,unable to stay awake,awake,NN,JJ TO VB RB,JJ_TO TO_VB VB_RB,JJ_TO_VB TO_VB_RB,FRAG_ADJP ADJP_JJ_S S_VP VP_TO_VP VP_VB_ADJP ADJP_JJ,the show,the,DT,DT NN,DT_NN,,NP_DT_NN,throughout,throughout,throughout,IN,IN,IN,y,y,1.0
885,Many people lost their jobs * the recession.,during,before,na,na,1,prepositions,Many people lost their jobs during the recession.,JJ NNS VBD PRP$ NNS IN DT NN,JJ_NNS NNS_VBD VBD_PRP$ PRP$_NNS NNS_IN IN_DT DT_NN,JJ_NNS_VBD NNS_VBD_PRP$ VBD_PRP$_NNS PRP$_NNS_IN NNS_IN_DT IN_DT_NN,S_NP_VP_. NP_JJ_NNS VP_VBD_NP_PP NP_PRP$_NNS PP_IN_NP NP_DT_NN,people lost their jobs during the recession,NNS VBD PRP$ NNS IN DT NN,NNS_VBD VBD_PRP$ PRP$_NNS NNS_IN IN_DT DT_NN,NNS_VBD_PRP$ VBD_PRP$_NNS PRP$_NNS_IN NNS_IN_DT IN_DT_NN,S_NP_VP NP_NNS VP_VBD_NP_PP NP_PRP$_NNS PP_IN_NP NP_DT_NN,people lost their jobs,jobs,NNS,NNS VBD PRP$ NNS,NNS_VBD VBD_PRP$ PRP$_NNS,NNS_VBD_PRP$ VBD_PRP$_NNS,S_NP_VP NP_NNS VP_VBD_NP NP_PRP$_NNS,the recession,the,DT,DT NN,DT_NN,,NP_DT_NN,during,during,during,IN,IN,IN,y,y,1.0
886,"* she starting running every day, she could not walk two miles without tiring.",Before,After,na,na,1,prepositions,"Before she starting running every day, she could not walk two miles without tiring.",IN PRP VBG VBG DT NN PRP MD RB VB CD NNS IN NN,IN_PRP PRP_VBG VBG_VBG VBG_DT DT_NN NN_PRP PRP_MD MD_RB RB_VB VB_CD CD_NNS NNS_IN IN_NN,IN_PRP_VBG PRP_VBG_VBG VBG_VBG_DT VBG_DT_NN DT_NN_PRP NN_PRP_MD PRP_MD_RB MD_RB_VB RB_VB_CD VB_CD_NNS CD_NNS_IN NNS_IN_NN,"S_PP_,_NP_VP_. PP_IN_S S_NP_VP NP_PRP VP_VBG_S S_VP VP_VBG_NP NP_DT_NN NP_PRP VP_MD_RB_VP VP_VB_NP_PP NP_CD_NNS PP_IN_ADJP ADJP_JJ",Before she starting running every,IN PRP VBG VBG DT,IN_PRP PRP_VBG VBG_VBG VBG_DT,IN_PRP_VBG PRP_VBG_VBG VBG_VBG_DT,S_ADVP_NP_VP ADVP_RB NP_PRP VP_VBG_S S_VP VP_VBG_ADVP ADVP_RB,,,,,,,,she starting running every,she,PRP,PRP VBG VBG DT,PRP_VBG VBG_VBG VBG_DT,PRP_VBG_VBG VBG_VBG_DT,SQ_NP_VP NP_PRP VP_VBG_S S_VP VP_VBG_ADVP ADVP_RB,Before,Before,Before,IN,IN,IN,b,y,1.0
887,She is still feeling rather tired * yesterday's training.,after,before,na,na,1,prepositions,She is still feeling rather tired after yesterday's training.,PRP VBZ RB VBG RB VBN IN NN NN,PRP_VBZ VBZ_RB RB_VBG VBG_RB RB_VBN VBN_IN IN_NN NN_NN,PRP_VBZ_RB VBZ_RB_VBG RB_VBG_RB VBG_RB_VBN RB_VBN_IN VBN_IN_NN IN_NN_NN,S_NP_VP_. NP_PRP VP_VBZ_ADVP_VP ADVP_RB VP_VBG_ADJP ADJP_RB_JJ_PP PP_IN_NP NP_NP-TMP_NN NP-TMP_NN_POS,still feeling rather tired after yesterday's training,RB VBG RB VBN IN NN NN,RB_VBG VBG_RB RB_VBN VBN_IN IN_NN NN_NN,RB_VBG_RB VBG_RB_VBN RB_VBN_IN VBN_IN_NN IN_NN_NN,S_ADVP_VP ADVP_RB VP_VBG_ADJP_PP ADJP_RB_JJ PP_IN_NP NP_NP-TMP_NN NP-TMP_NN_POS,still feeling rather tired,tired,VBN,RB VBG RB VBN,RB_VBG VBG_RB RB_VBN,RB_VBG_RB VBG_RB_VBN,S_ADVP_VP ADVP_RB VP_VBG_ADJP ADJP_RB_JJ,yesterday's training,yesterday's,NN,NNS VBG,NNS_VBG,,NP_NP_NN NP_NN_POS,after,after,after,IN,IN,IN,y,y,1.0
888,I never leave home * my phone and keys.,without,with,na,na,1,prepositions,I never leave home without my phone and keys.,PRP RB VBP NN IN PRP$ NN CC NN,PRP_RB RB_VBP VBP_NN NN_IN IN_PRP$ PRP$_NN NN_CC CC_NN,PRP_RB_VBP RB_VBP_NN VBP_NN_IN NN_IN_PRP$ IN_PRP$_NN PRP$_NN_CC NN_CC_NN,S_NP_ADVP_VP_. NP_PRP ADVP_RB VP_VBP_ADVP_PP ADVP_RB PP_IN_NP NP_PRP$_NN_CC_NNS,I never leave home without my phone and keys,PRP RB VBP NN IN PRP$ NN CC NNS,PRP_RB RB_VBP VBP_NN NN_IN IN_PRP$ PRP$_NN NN_CC CC_NNS,PRP_RB_VBP RB_VBP_NN VBP_NN_IN NN_IN_PRP$ IN_PRP$_NN PRP$_NN_CC NN_CC_NNS,S_NP_ADVP_VP NP_PRP ADVP_RB VP_VBP_ADVP_PP ADVP_RB PP_IN_NP NP_PRP$_NN_CC_NNS,I never leave home,home,NN,PRP RB VBP NN,PRP_RB RB_VBP VBP_NN,PRP_RB_VBP RB_VBP_NN,S_NP_ADVP_VP NP_PRP ADVP_RB VP_VBP_ADVP ADVP_RB,my phone and keys,my,PRP$,PRP$ NN CC NNS,PRP$_NN NN_CC CC_NNS,PRP$_NN_CC NN_CC_NNS,NP_NP_CC_NP NP_PRP$_NN NP_NNS,without,without,without,IN,IN,IN,y,y,1.0
889,"* my siblings, I am the shortest.",Among,Across,na,na,1,prepositions,"Among my siblings, I am the shortest.",IN PRP$ NN PRP VBP DT NN,IN_PRP$ PRP$_NN NN_PRP PRP_VBP VBP_DT DT_NN,IN_PRP$_NN PRP$_NN_PRP NN_PRP_VBP PRP_VBP_DT VBP_DT_NN,"S_PP_,_NP_VP_. PP_IN_NP NP_PRP$_NNS NP_PRP VP_VBP_ADJP ADJP_DT_JJS","Among my siblings, I am",IN PRP$ NN PRP VBP,IN_PRP$ PRP$_NN NN_PRP PRP_VBP,IN_PRP$_NN PRP$_NN_PRP NN_PRP_VBP,"S_PP_,_NP_VP PP_IN_NP NP_PRP$_NNS NP_PRP VP_VBP",,,,,,,,"my siblings, I am",my,PRP$,PRP$ NN PRP VBP,PRP$_NN NN_PRP PRP_VBP,PRP$_NN_PRP NN_PRP_VBP,"FRAG_NP_,_S NP_PRP$_NNS S_NP_VP NP_PRP VP_VBP",Among,Among,Among,IN,IN,IN,b,y,1.0
890,"* your bank statements, you have ten thousand dollars in your account.",According to,On behalf of,na,na,1,prepositions,"According to your bank statements, you have ten thousand dollars in your account.",VBG TO PRP$ NN NN PRP VBP VBN CD NNS IN PRP$ NN,VBG_TO TO_PRP$ PRP$_NN NN_NN NN_PRP PRP_VBP VBP_VBN VBN_CD CD_NNS NNS_IN IN_PRP$ PRP$_NN,VBG_TO_PRP$ TO_PRP$_NN PRP$_NN_NN NN_NN_PRP NN_PRP_VBP PRP_VBP_VBN VBP_VBN_CD VBN_CD_NNS CD_NNS_IN NNS_IN_PRP$ IN_PRP$_NN,"S_PP_,_NP_VP_. PP_VBG_PP PP_IN_NP NP_PRP$_NN_NNS NP_PRP VP_VBP_NP NP_NP_PP NP_QP_NNS QP_CD_CD PP_IN_NP NP_PRP$_NN","According to your bank statements, you",VBG TO PRP$ NN NN PRP,VBG_TO TO_PRP$ PRP$_NN NN_NN NN_PRP,VBG_TO_PRP$ TO_PRP$_NN PRP$_NN_NN NN_NN_PRP,"FRAG_S_,_NP S_PP PP_VBG_PP PP_IN_NP NP_PRP$_NN_NNS NP_PRP",,,,,,,,"your bank statements, you",your,PRP$,PRP$ NN NN PRP,PRP$_NN NN_NN NN_PRP,PRP$_NN_NN NN_NN_PRP,"NP_NP_,_NP NP_PRP$_NN_NNS NP_PRP",According to,According,to,VBG_TO,VBG,TO,b,y,2.0
891,I feel that it is * her to figure out what she wants to do with her life.,up to,down to,na,na,1,prepositions,I feel that it is up to her to figure out what she wants to do with her life.,PRP VBP IN PRP VBZ RB TO PRP$ TO VB RP WP PRP VBZ TO VB IN PRP NN,PRP_VBP VBP_IN IN_PRP PRP_VBZ VBZ_RB RB_TO TO_PRP$ PRP$_TO TO_VB VB_RP RP_WP WP_PRP PRP_VBZ VBZ_TO TO_VB VB_IN IN_PRP PRP_NN,PRP_VBP_IN VBP_IN_PRP IN_PRP_VBZ PRP_VBZ_RB VBZ_RB_TO RB_TO_PRP$ TO_PRP$_TO PRP$_TO_VB TO_VB_RP VB_RP_WP RP_WP_PRP WP_PRP_VBZ PRP_VBZ_TO VBZ_TO_VB TO_VB_IN VB_IN_PRP IN_PRP_NN,S_NP_VP_. NP_PRP VP_VBP_SBAR SBAR_IN_S S_NP_VP NP_PRP VP_VBZ_ADVP_S ADVP_RB_PP PP_IN_NP NP_PRP S_VP VP_TO_VP VP_VB_PRT_SBAR PRT_RP SBAR_WHNP_S WHNP_WP S_NP_VP NP_PRP VP_VBZ_S S_VP VP_TO_VP VP_VB_PP PP_IN_NP NP_PRP$_NN,feel that it is up to her to figure out,NN IN PRP VBZ RB TO PRP$ TO VB RP,NN_IN IN_PRP PRP_VBZ VBZ_RB RB_TO TO_PRP$ PRP$_TO TO_VB VB_RP,NN_IN_PRP IN_PRP_VBZ PRP_VBZ_RB VBZ_RB_TO RB_TO_PRP$ TO_PRP$_TO PRP$_TO_VB TO_VB_RP,S_VP VP_VB_SBAR SBAR_IN_S S_NP_VP NP_PRP VP_VBZ_ADVP_S ADVP_RB_PP PP_IN_NP NP_PRP S_VP VP_TO_VP VP_VB_PRT PRT_RP,feel that it is,is,VBZ,NN IN PRP VBZ,NN_IN IN_PRP PRP_VBZ,NN_IN_PRP IN_PRP_VBZ,S_VP VP_VB_SBAR SBAR_IN_S S_NP_VP NP_PRP VP_VBZ,her to figure out,her,PRP$,PRP$ TO VB RP,PRP$_TO TO_VB VB_RP,PRP$_TO_VB TO_VB_RP,S_NP_VP NP_PRP VP_TO_VP VP_VB_PRT PRT_RP,up to,up,to,RB_TO,RB,TO,y,y,2.0
892,"* the management, I would like to thank all of you for your hard work.",On behalf of,According to,na,na,1,prepositions,"On behalf of the management, I would like to thank all of you for your hard work.",IN NN IN DT NN PRP MD VB TO VB DT IN PRP IN PRP$ JJ NN,IN_NN NN_IN IN_DT DT_NN NN_PRP PRP_MD MD_VB VB_TO TO_VB VB_DT DT_IN IN_PRP PRP_IN IN_PRP$ PRP$_JJ JJ_NN,IN_NN_IN NN_IN_DT IN_DT_NN DT_NN_PRP NN_PRP_MD PRP_MD_VB MD_VB_TO VB_TO_VB TO_VB_DT VB_DT_IN DT_IN_PRP IN_PRP_IN PRP_IN_PRP$ IN_PRP$_JJ PRP$_JJ_NN,"S_PP_,_NP_VP_. PP_IN_NP NP_NP_PP NP_NN PP_IN_NP NP_DT_NN NP_PRP VP_MD_VP VP_VB_S S_VP VP_TO_VP VP_VB_NP_PP NP_NP_PP NP_DT PP_IN_NP NP_PRP PP_IN_NP NP_PRP$_JJ_NN","On behalf of the management, I would",IN NN IN DT NN PRP MD,IN_NN NN_IN IN_DT DT_NN NN_PRP PRP_MD,IN_NN_IN NN_IN_DT IN_DT_NN DT_NN_PRP NN_PRP_MD,"S_PP_,_NP_VP PP_IN_NP NP_NP_PP NP_NN PP_IN_NP NP_DT_NN NP_PRP VP_MD",,,,,,,,"the management, I would",the,DT,DT NN PRP MD,DT_NN NN_PRP PRP_MD,DT_NN_PRP NN_PRP_MD,"FRAG_NP_,_S NP_DT_NN S_NP_VP NP_PRP VP_MD",On behalf of,On,of,IN_NN_IN,IN,IN,b,y,3.0
