id,qb_question,qb_answer,qb_choice1,qb_choice2,qb_choice3,qb_topic_id,topic,qa,qa_pos,qa_pos_bigram,qa_pos_trigram,qa_parse_tree,ss,ss_pos,ss_pos_bigram,ss_pos_trigram,ss_parse_tree,before,before_last,before_last_pos,before_pos,before_pos_bigram,before_pos_trigram,before_parse_tree,after,after_first,after_first_pos,after_pos,after_pos_bigram,after_pos_trigram,after_parse_tree,ans,ans_first,ans_last,ans_pos,ans_first_pos,ans_last_pos,ans_is_first,ans_is_last,ans_length
90,I will hang the picture * this wall.,on,in,onto,na,1,prepositions,I will hang the picture on this wall.,PRP MD VB DT NN IN DT NN,PRP_MD MD_VB VB_DT DT_NN NN_IN IN_DT DT_NN,PRP_MD_VB MD_VB_DT VB_DT_NN DT_NN_IN NN_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_MD_VP VP_VB_NP_PP NP_DT_NN PP_IN_NP NP_DT_NN,will hang the picture on this wall,MD VB DT NN IN DT NN,MD_VB VB_DT DT_NN NN_IN IN_DT DT_NN,MD_VB_DT VB_DT_NN DT_NN_IN NN_IN_DT IN_DT_NN,S_VP VP_MD_VP VP_VB_NP_PP NP_DT_NN PP_IN_NP NP_DT_NN,will hang the picture,picture,NN,MD VB DT NN,MD_VB VB_DT DT_NN,MD_VB_DT VB_DT_NN,S_VP VP_MD_VP VP_VB_NP NP_DT_NN,this wall,this,DT,DT NN,DT_NN,,NP_DT_NN,on,on,on,IN,IN,IN,x,x,1.0
91,There is some leftover dinner * the fridge.,in,on,into,na,1,prepositions,There is some leftover dinner in the fridge.,EX VBZ DT NN NN IN DT NN,EX_VBZ VBZ_DT DT_NN NN_NN NN_IN IN_DT DT_NN,EX_VBZ_DT VBZ_DT_NN DT_NN_NN NN_NN_IN NN_IN_DT IN_DT_NN,S_NP_VP_. NP_EX VP_VBZ_NP NP_NP_PP NP_DT_NN_NN PP_IN_NP NP_DT_NN,is some leftover dinner in the fridge,VBZ DT NN NN IN DT NN,VBZ_DT DT_NN NN_NN NN_IN IN_DT DT_NN,VBZ_DT_NN DT_NN_NN NN_NN_IN NN_IN_DT IN_DT_NN,S_VP VP_VBZ_NP NP_NP_PP NP_DT_NN_NN PP_IN_NP NP_DT_NN,is some leftover dinner,dinner,NN,VBZ DT NN NN,VBZ_DT DT_NN NN_NN,VBZ_DT_NN DT_NN_NN,SQ_VBZ_NP NP_DT_NN_NN,the fridge,the,DT,DT NN,DT_NN,,NP_DT_NN,in,in,in,IN,IN,IN,x,x,1.0
92,There is still some food * the kitchen.,in,on,into,na,1,prepositions,There is still some food in the kitchen.,EX VBZ RB DT NN IN DT NN,EX_VBZ VBZ_RB RB_DT DT_NN NN_IN IN_DT DT_NN,EX_VBZ_RB VBZ_RB_DT RB_DT_NN DT_NN_IN NN_IN_DT IN_DT_NN,S_NP_VP_. NP_EX VP_VBZ_ADVP_NP ADVP_RB NP_NP_PP NP_DT_NN PP_IN_NP NP_DT_NN,is still some food in the kitchen,VBZ RB DT NN IN DT NN,VBZ_RB RB_DT DT_NN NN_IN IN_DT DT_NN,VBZ_RB_DT RB_DT_NN DT_NN_IN NN_IN_DT IN_DT_NN,S_VP VP_VBZ_ADVP_NP ADVP_RB NP_NP_PP NP_DT_NN PP_IN_NP NP_DT_NN,is still some food,food,NN,VBZ RB DT NN,VBZ_RB RB_DT DT_NN,VBZ_RB_DT RB_DT_NN,S_VP VP_VBZ_ADVP_NP ADVP_RB NP_DT_NN,the kitchen,the,DT,DT NN,DT_NN,,NP_DT_NN,in,in,in,IN,IN,IN,x,x,1.0
93,There are no boxes left * the storeroom.,in,on,into,na,1,prepositions,There are no boxes left in the storeroom.,EX VBP DT NNS VBD IN DT NN,EX_VBP VBP_DT DT_NNS NNS_VBD VBD_IN IN_DT DT_NN,EX_VBP_DT VBP_DT_NNS DT_NNS_VBD NNS_VBD_IN VBD_IN_DT IN_DT_NN,S_NP_VP_. NP_EX VP_VBP_NP NP_NP_VP NP_DT_NNS VP_VBN_PP PP_IN_NP NP_DT_NN,are no boxes left in the storeroom,VBP DT NNS VBD IN DT NN,VBP_DT DT_NNS NNS_VBD VBD_IN IN_DT DT_NN,VBP_DT_NNS DT_NNS_VBD NNS_VBD_IN VBD_IN_DT IN_DT_NN,S_VP VP_VBP_NP NP_NP_VP NP_DT_NNS VP_VBN_PP PP_IN_NP NP_DT_NN,are no boxes left,left,NN,VBP DT NNS VBD,VBP_DT DT_NNS NNS_VBD,VBP_DT_NNS DT_NNS_VBD,SQ_VBP_NP_ADVP NP_DT_NNS ADVP_RB,the storeroom,the,DT,DT NN,DT_NN,,NP_DT_NN,in,in,in,IN,IN,IN,x,x,1.0
94,I made some coffee. It is * the pantry.,in,on,into,na,1,prepositions,I made some coffee. It is in the pantry.,PRP VBD DT NN PRP VBZ IN DT NN,PRP_VBD VBD_DT DT_NN NN_PRP PRP_VBZ VBZ_IN IN_DT DT_NN,PRP_VBD_DT VBD_DT_NN DT_NN_PRP NN_PRP_VBZ PRP_VBZ_IN VBZ_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBD_NP NP_DT_NN,some coffee. It is in the pantry,DT NN PRP VBZ IN DT NN,DT_NN NN_PRP PRP_VBZ VBZ_IN IN_DT DT_NN,DT_NN_PRP NN_PRP_VBZ PRP_VBZ_IN VBZ_IN_DT IN_DT_NN,NP_DT_NN_.,some coffee. It is,is,VBZ,DT NN PRP VBZ,DT_NN NN_PRP PRP_VBZ,DT_NN_PRP NN_PRP_VBZ,NP_DT_NN_.,the pantry,the,DT,DT NN,DT_NN,,NP_DT_NN,in,in,in,IN,IN,IN,x,x,1.0
95,There is something moving * the water.,in,on,into,na,1,prepositions,There is something moving in the water.,EX VBZ NN VBG IN DT NN,EX_VBZ VBZ_NN NN_VBG VBG_IN IN_DT DT_NN,EX_VBZ_NN VBZ_NN_VBG NN_VBG_IN VBG_IN_DT IN_DT_NN,S_NP_VP_. NP_EX VP_VBZ_NP NP_NP_VP NP_NN VP_VBG_PP PP_IN_NP NP_DT_NN,There is something moving in the water,EX VBZ NN VBG IN DT NN,EX_VBZ VBZ_NN NN_VBG VBG_IN IN_DT DT_NN,EX_VBZ_NN VBZ_NN_VBG NN_VBG_IN VBG_IN_DT IN_DT_NN,S_NP_VP NP_EX VP_VBZ_NP NP_NP_VP NP_NN VP_VBG_PP PP_IN_NP NP_DT_NN,There is something moving,moving,VBG,EX VBZ NN VBG,EX_VBZ VBZ_NN NN_VBG,EX_VBZ_NN VBZ_NN_VBG,S_NP_VP NP_EX VP_VBZ_NP NP_NP_VP NP_NN VP_VBG,the water,the,DT,DT NN,DT_NN,,NP_DT_NN,in,in,in,IN,IN,IN,x,x,1.0
96,I put my clothes * the suitcase.,in,on,into,na,1,prepositions,I put my clothes in the suitcase.,PRP VBP PRP$ NNS IN DT NN,PRP_VBP VBP_PRP$ PRP$_NNS NNS_IN IN_DT DT_NN,PRP_VBP_PRP$ VBP_PRP$_NNS PRP$_NNS_IN NNS_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBD_NP_PP NP_PRP$_NNS PP_IN_NP NP_DT_NN,I put my clothes in the suitcase,PRP VBP PRP$ NNS IN DT NN,PRP_VBP VBP_PRP$ PRP$_NNS NNS_IN IN_DT DT_NN,PRP_VBP_PRP$ VBP_PRP$_NNS PRP$_NNS_IN NNS_IN_DT IN_DT_NN,S_NP_VP NP_PRP VP_VBD_NP_PP NP_PRP$_NNS PP_IN_NP NP_DT_NN,I put my clothes,clothes,NNS,PRP VBP PRP$ NNS,PRP_VBP VBP_PRP$ PRP$_NNS,PRP_VBP_PRP$ VBP_PRP$_NNS,S_NP_VP NP_PRP VP_VBD_NP NP_PRP$_NNS,the suitcase,the,DT,DT NN,DT_NN,,NP_DT_NN,in,in,in,IN,IN,IN,x,x,1.0
97,If you want to participate * the activity you need to read the rules first.,in,on,about,na,1,prepositions,If you want to participate in the activity you need to read the rules first.,IN PRP VBP TO VB IN DT NN PRP VBP TO VB DT NNS VBP,IN_PRP PRP_VBP VBP_TO TO_VB VB_IN IN_DT DT_NN NN_PRP PRP_VBP VBP_TO TO_VB VB_DT DT_NNS NNS_VBP,IN_PRP_VBP PRP_VBP_TO VBP_TO_VB TO_VB_IN VB_IN_DT IN_DT_NN DT_NN_PRP NN_PRP_VBP PRP_VBP_TO VBP_TO_VB TO_VB_DT VB_DT_NNS DT_NNS_VBP,S_SBAR_NP_VP_. SBAR_IN_S S_NP_VP NP_PRP VP_VBP_S S_VP VP_TO_VP VP_VB_PP PP_IN_NP NP_DT_NN NP_PRP VP_VBP_S S_VP VP_TO_VP VP_VB_NP_ADVP NP_DT_NNS ADVP_RB,you want to participate in the activity you need,PRP VBP TO VB IN DT NN PRP VBP,PRP_VBP VBP_TO TO_VB VB_IN IN_DT DT_NN NN_PRP PRP_VBP,PRP_VBP_TO VBP_TO_VB TO_VB_IN VB_IN_DT IN_DT_NN DT_NN_PRP NN_PRP_VBP,S_PRN_NP_VP PRN_S S_NP_VP NP_PRP VP_VBP_S S_VP VP_TO_VP VP_VB_PP PP_IN_NP NP_DT_NN NP_PRP VP_VBP,you want to participate,participate,VB,PRP VBP TO VB,PRP_VBP VBP_TO TO_VB,PRP_VBP_TO VBP_TO_VB,S_NP_VP NP_PRP VP_VBP_S S_VP VP_TO_VP VP_VB,the activity you need,the,DT,DT NN PRP VBP,DT_NN NN_PRP PRP_VBP,DT_NN_PRP NN_PRP_VBP,S_NP_NP_VP NP_DT_NN NP_PRP VP_VBP,in,in,in,IN,IN,IN,x,x,1.0
98,I have decided to take part * the competition.,in,on,about,na,1,prepositions,I have decided to take part in the competition.,PRP VBP VBN TO VB NN IN DT NN,PRP_VBP VBP_VBN VBN_TO TO_VB VB_NN NN_IN IN_DT DT_NN,PRP_VBP_VBN VBP_VBN_TO VBN_TO_VB TO_VB_NN VB_NN_IN NN_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBP_VP VP_VBN_S S_VP VP_TO_VP VP_VB_NP_PP NP_NN PP_IN_NP NP_DT_NN,decided to take part in the competition,VBD TO VB NN IN DT NN,VBD_TO TO_VB VB_NN NN_IN IN_DT DT_NN,VBD_TO_VB TO_VB_NN VB_NN_IN NN_IN_DT IN_DT_NN,S_VP VP_VBD_S S_VP VP_TO_VP VP_VB_NP_PP NP_NN PP_IN_NP NP_DT_NN,decided to take part,part,NN,VBD TO VB NN,VBD_TO TO_VB VB_NN,VBD_TO_VB TO_VB_NN,S_VP VP_VBD_S S_VP VP_TO_VP VP_VB_NP NP_NN,the competition,the,DT,DT NN,DT_NN,,NP_DT_NN,in,in,in,IN,IN,IN,x,x,1.0
99,For the science fair Jenny built a robot that can walk * a straight line.,in,on,about,na,1,prepositions,For the science fair Jenny built a robot that can walk in a straight line.,IN DT NN JJ NNP VBD DT NN WDT MD VB IN DT JJ NN,IN_DT DT_NN NN_JJ JJ_NNP NNP_VBD VBD_DT DT_NN NN_WDT WDT_MD MD_VB VB_IN IN_DT DT_JJ JJ_NN,IN_DT_NN DT_NN_JJ NN_JJ_NNP JJ_NNP_VBD NNP_VBD_DT VBD_DT_NN DT_NN_WDT NN_WDT_MD WDT_MD_VB MD_VB_IN VB_IN_DT IN_DT_JJ DT_JJ_NN,S_PP_NP_VP_. PP_IN_NP NP_DT_NN_NN NP_NNP VP_VBD_NP NP_NP_SBAR NP_DT_NN SBAR_WHNP_S WHNP_WDT S_VP VP_MD_VP VP_VB_PP PP_IN_NP NP_DT_JJ_NN,robot that can walk in a straight line,NN WDT MD VB IN DT JJ NN,NN_WDT WDT_MD MD_VB VB_IN IN_DT DT_JJ JJ_NN,NN_WDT_MD WDT_MD_VB MD_VB_IN VB_IN_DT IN_DT_JJ DT_JJ_NN,NP_NP_SBAR NP_NN SBAR_WHNP_S WHNP_WDT S_VP VP_MD_VP VP_VB_PP PP_IN_NP NP_DT_JJ_NN,robot that can walk,walk,NN,NN WDT MD VB,NN_WDT WDT_MD MD_VB,NN_WDT_MD WDT_MD_VB,NP_NP_SBAR NP_NN SBAR_WHNP_S WHNP_WDT S_VP VP_MD_VP VP_VB,a straight line,a,DT,DT JJ NN,DT_JJ JJ_NN,DT_JJ_NN,NP_DT_JJ_NN,in,in,in,IN,IN,IN,x,x,1.0
100,The boomerang flies * a loop and returns to its thrower.,in,on,about,na,1,prepositions,The boomerang flies in a loop and returns to its thrower.,DT NN NNS IN DT NN CC NNS TO PRP$ NN,DT_NN NN_NNS NNS_IN IN_DT DT_NN NN_CC CC_NNS NNS_TO TO_PRP$ PRP$_NN,DT_NN_NNS NN_NNS_IN NNS_IN_DT IN_DT_NN DT_NN_CC NN_CC_NNS CC_NNS_TO NNS_TO_PRP$ TO_PRP$_NN,S_NP_VP_. NP_DT_NN VP_VBZ_PP_PP PP_IN_NP NP_NP_CC_NP NP_DT_NN NP_NNS PP_IN_NP NP_PRP$_NN,The boomerang flies in a loop and returns,DT NN NNS IN DT NN CC NNS,DT_NN NN_NNS NNS_IN IN_DT DT_NN NN_CC CC_NNS,DT_NN_NNS NN_NNS_IN NNS_IN_DT IN_DT_NN DT_NN_CC NN_CC_NNS,S_NP_VP NP_DT_NN VP_VBZ_PP PP_IN_NP NP_NP_CC_NP NP_DT_NN NP_NNS,The boomerang flies,flies,NNS,DT NN NNS,DT_NN NN_NNS,DT_NN_NNS,S_NP_VP NP_DT_NN VP_VBZ,a loop and returns,a,DT,DT NN CC NNS,DT_NN NN_CC CC_NNS,DT_NN_CC NN_CC_NNS,NP_NP_CC_NP NP_DT_NN NP_NNS,in,in,in,IN,IN,IN,x,x,1.0
101,The baby climbed * the sofa and reached out for the toy.,onto,into,over,na,1,prepositions,The baby climbed onto the sofa and reached out for the toy.,DT NN VBD IN DT NN CC VBD RP IN DT NN,DT_NN NN_VBD VBD_IN IN_DT DT_NN NN_CC CC_VBD VBD_RP RP_IN IN_DT DT_NN,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_CC NN_CC_VBD CC_VBD_RP VBD_RP_IN RP_IN_DT IN_DT_NN,S_NP_VP_. NP_DT_NN VP_VP_CC_VP VP_VBD_PP PP_IN_NP NP_DT_NN VP_VBD_PRT_PP PRT_RP PP_IN_NP NP_DT_NN,The baby climbed onto the sofa and reached,DT NN VBD IN DT NN CC VBD,DT_NN NN_VBD VBD_IN IN_DT DT_NN NN_CC CC_VBD,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_CC NN_CC_VBD,S_NP_VP NP_DT_NN VP_VP_CC_VP VP_VBD_PP PP_IN_NP NP_DT_NN VP_VBD,The baby climbed,climbed,NN,DT NN VBD,DT_NN NN_VBD,DT_NN_VBD,S_NP_VP NP_DT_NN VP_VBD,the sofa and reached,the,DT,DT NN CC VBD,DT_NN NN_CC CC_VBD,DT_NN_CC NN_CC_VBD,UCP_NP_CC_S NP_DT_NN S_VP VP_VBN,onto,onto,onto,IN,IN,IN,x,x,1.0
102,The cat jumped * the countertop to look for food.,onto,into,over,na,1,prepositions,The cat jumped onto the countertop to look for food.,DT NN VBD IN DT NN TO VB IN NN,DT_NN NN_VBD VBD_IN IN_DT DT_NN NN_TO TO_VB VB_IN IN_NN,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_TO NN_TO_VB TO_VB_IN VB_IN_NN,S_NP_VP_. NP_DT_NN VP_VBD_PP_S PP_IN_NP NP_DT_NN S_VP VP_TO_VP VP_VB_PP PP_IN_NP NP_NN,The cat jumped onto the countertop to look,DT NN VBD IN DT NN TO VB,DT_NN NN_VBD VBD_IN IN_DT DT_NN NN_TO TO_VB,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_TO NN_TO_VB,S_NP_VP NP_DT_NN VP_VBD_PP_S PP_IN_NP NP_DT_NN S_VP VP_TO_VP VP_VB,The cat jumped,jumped,NN,DT NN VBD,DT_NN NN_VBD,DT_NN_VBD,S_NP_VP NP_DT_NN VP_VBD,the countertop to look,the,DT,DT NN TO VB,DT_NN NN_TO TO_VB,DT_NN_TO NN_TO_VB,FRAG_NP NP_DT_NN_S S_VP VP_TO_VP VP_VB,onto,onto,onto,IN,IN,IN,x,x,1.0
103,The rabbit hopped * the table to eat the carrot.,onto,into,na,na,1,prepositions,The rabbit hopped onto the table to eat the carrot.,DT NN VBD IN DT NN TO VB DT NN,DT_NN NN_VBD VBD_IN IN_DT DT_NN NN_TO TO_VB VB_DT DT_NN,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_TO NN_TO_VB TO_VB_DT VB_DT_NN,S_NP_VP_. NP_DT_NN VP_VBD_PP_S PP_IN_NP NP_DT_NN S_VP VP_TO_VP VP_VB_NP NP_DT_NN,The rabbit hopped onto the table to eat,DT NN VBD IN DT NN TO VB,DT_NN NN_VBD VBD_IN IN_DT DT_NN NN_TO TO_VB,DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN DT_NN_TO NN_TO_VB,S_NP_VP NP_DT_NN VP_VBD_PP_S PP_IN_NP NP_DT_NN S_VP VP_TO_VP VP_VB,The rabbit hopped,hopped,NN,DT NN VBD,DT_NN NN_VBD,DT_NN_VBD,S_NP_VP NP_DT_NN VP_VBD,the table to eat,the,DT,DT NN TO VB,DT_NN NN_TO TO_VB,DT_NN_TO NN_TO_VB,FRAG_NP NP_DT_NN_S S_VP VP_TO_VP VP_VB,onto,onto,onto,IN,IN,IN,x,x,1.0
104,I slipped and fell as I stepped * the pavement.,onto,into,na,na,1,prepositions,I slipped and fell as I stepped onto the pavement.,PRP VBD CC VBD IN PRP VBD IN DT NN,PRP_VBD VBD_CC CC_VBD VBD_IN IN_PRP PRP_VBD VBD_IN IN_DT DT_NN,PRP_VBD_CC VBD_CC_VBD CC_VBD_IN VBD_IN_PRP IN_PRP_VBD PRP_VBD_IN VBD_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VP_CC_VP VP_VBD VP_VBD_SBAR SBAR_IN_S S_NP_VP NP_PRP VP_VBD_PP PP_IN_NP NP_DT_NN,fell as I stepped onto the pavement,VBD IN PRP VBD IN DT NN,VBD_IN IN_PRP PRP_VBD VBD_IN IN_DT DT_NN,VBD_IN_PRP IN_PRP_VBD PRP_VBD_IN VBD_IN_DT IN_DT_NN,S_VP VP_VBD_SBAR SBAR_IN_S S_NP_VP NP_PRP VP_VBD_PP PP_IN_NP NP_DT_NN,fell as I stepped,stepped,VBD,VBD IN PRP VBD,VBD_IN IN_PRP PRP_VBD,VBD_IN_PRP IN_PRP_VBD,S_VP VP_VBD_SBAR SBAR_IN_S S_NP_VP NP_PRP VP_VBD,the pavement,the,DT,DT NN,DT_NN,,NP_DT_NN,onto,onto,onto,IN,IN,IN,x,x,1.0
105,He loaded the goods * the truck.,onto,into,na,na,1,prepositions,He loaded the goods onto the truck.,PRP VBD DT NNS IN DT NN,PRP_VBD VBD_DT DT_NNS NNS_IN IN_DT DT_NN,PRP_VBD_DT VBD_DT_NNS DT_NNS_IN NNS_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBD_NP_PP NP_DT_NNS PP_IN_NP NP_DT_NN,He loaded the goods onto the truck,PRP VBD DT NNS IN DT NN,PRP_VBD VBD_DT DT_NNS NNS_IN IN_DT DT_NN,PRP_VBD_DT VBD_DT_NNS DT_NNS_IN NNS_IN_DT IN_DT_NN,S_NP_VP NP_PRP VP_VBD_NP_PP NP_DT_NNS PP_IN_NP NP_DT_NN,He loaded the goods,goods,NNS,PRP VBD DT NNS,PRP_VBD VBD_DT DT_NNS,PRP_VBD_DT VBD_DT_NNS,S_NP_VP NP_PRP VP_VBD_NP NP_DT_NNS,the truck,the,DT,DT NN,DT_NN,,NP_DT_NN,onto,onto,onto,IN,IN,IN,x,x,1.0
106,The class became quiet when the teacher stepped * the classroom.,into,onto,na,na,1,prepositions,The class became quiet when the teacher stepped into the classroom.,DT NN VBD JJ WRB DT NN VBD IN DT NN,DT_NN NN_VBD VBD_JJ JJ_WRB WRB_DT DT_NN NN_VBD VBD_IN IN_DT DT_NN,DT_NN_VBD NN_VBD_JJ VBD_JJ_WRB JJ_WRB_DT WRB_DT_NN DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN,S_NP_VP_. NP_DT_NN VP_VBD_ADJP_SBAR ADJP_JJ SBAR_WHADVP_S WHADVP_WRB S_NP_VP NP_DT_NN VP_VBD_PP PP_IN_NP NP_DT_NN,when the teacher stepped into the classroom,WRB DT NN VBD IN DT NN,WRB_DT DT_NN NN_VBD VBD_IN IN_DT DT_NN,WRB_DT_NN DT_NN_VBD NN_VBD_IN VBD_IN_DT IN_DT_NN,SBAR_WHADVP_S WHADVP_WRB S_NP_VP NP_DT_NN VP_VBD_PP PP_IN_NP NP_DT_NN,when the teacher stepped,stepped,VBD,WRB DT NN VBD,WRB_DT DT_NN NN_VBD,WRB_DT_NN DT_NN_VBD,SBAR_WHADVP_S WHADVP_WRB S_NP_VP NP_DT_NN VP_VBD,the classroom,the,DT,DT NN,DT_NN,,NP_DT_NN,into,into,into,IN,IN,IN,x,x,1.0
107,I am going * the room to check.,into,onto,na,na,1,prepositions,I am going into the room to check.,PRP VBP VBG IN DT NN TO VB,PRP_VBP VBP_VBG VBG_IN IN_DT DT_NN NN_TO TO_VB,PRP_VBP_VBG VBP_VBG_IN VBG_IN_DT IN_DT_NN DT_NN_TO NN_TO_VB,S_NP_VP_. NP_PRP VP_VBP_VP VP_VBG_PP_S PP_IN_NP NP_DT_NN S_VP VP_TO_VP VP_VB,I am going into the room to check,PRP VBP VBG IN DT NN TO VB,PRP_VBP VBP_VBG VBG_IN IN_DT DT_NN NN_TO TO_VB,PRP_VBP_VBG VBP_VBG_IN VBG_IN_DT IN_DT_NN DT_NN_TO NN_TO_VB,S_NP_VP NP_PRP VP_VBP_VP VP_VBG_PP_S PP_IN_NP NP_DT_NN S_VP VP_TO_VP VP_VB,I am going,going,VBG,PRP VBP VBG,PRP_VBP VBP_VBG,PRP_VBP_VBG,S_NP_VP NP_PRP VP_VBP_VP VP_VBG,the room to check,the,DT,DT NN TO VB,DT_NN NN_TO TO_VB,DT_NN_TO NN_TO_VB,NP_NP_PP NP_DT_NN PP_IN_NP NP_NN,into,into,into,IN,IN,IN,x,x,1.0
108,Please put some sugar * my coffee.,into,onto,na,na,1,prepositions,Please put some sugar into my coffee.,NNP VBD DT NN IN PRP$ NN,NNP_VBD VBD_DT DT_NN NN_IN IN_PRP$ PRP$_NN,NNP_VBD_DT VBD_DT_NN DT_NN_IN NN_IN_PRP$ IN_PRP$_NN,S_INTJ_VP_. INTJ_UH VP_VB_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NN,Please put some sugar into my coffee,NNP VBD DT NN IN PRP$ NN,NNP_VBD VBD_DT DT_NN NN_IN IN_PRP$ PRP$_NN,NNP_VBD_DT VBD_DT_NN DT_NN_IN NN_IN_PRP$ IN_PRP$_NN,S_INTJ_VP INTJ_UH VP_VB_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NN,Please put some sugar,sugar,NN,NNP VBD DT NN,NNP_VBD VBD_DT DT_NN,NNP_VBD_DT VBD_DT_NN,S_INTJ_VP INTJ_UH VP_VB_NP NP_DT_NN,my coffee,my,PRP$,PRP$ NN,PRP$_NN,,NP_PRP$_NN,into,into,into,IN,IN,IN,x,x,1.0
109,Please stop work and get * bed.,into,onto,na,na,1,prepositions,Please stop work and get into bed.,NNP VB NN CC VB IN NN,NNP_VB VB_NN NN_CC CC_VB VB_IN IN_NN,NNP_VB_NN VB_NN_CC NN_CC_VB CC_VB_IN VB_IN_NN,S_INTJ_VP_. INTJ_UH VP_VP_CC_VP VP_VB_NP NP_NN VP_VB_PP PP_IN_NP NP_NN,stop work and get into bed,JJ NN CC VB IN NN,JJ_NN NN_CC CC_VB VB_IN IN_NN,JJ_NN_CC NN_CC_VB CC_VB_IN VB_IN_NN,S_VP VP_VP_CC_VP VP_VB_NP NP_NN VP_VB_PP PP_IN_NP NP_NN,stop work and get,get,VB,JJ NN CC VB,JJ_NN NN_CC CC_VB,JJ_NN_CC NN_CC_VB,S_VP VP_VP_CC_VP VP_VB_NP NP_NN VP_VB,bed,bed,NN,NN,,,NP_NN,into,into,into,IN,IN,IN,x,x,1.0
110,"After gaining ten pounds, I could not fit * my old pants anymore.",into,onto,na,na,1,prepositions,"After gaining ten pounds, I could not fit into my old pants anymore.",IN VBG JJ NN PRP MD RB VB IN PRP$ JJ NNS NN,IN_VBG VBG_JJ JJ_NN NN_PRP PRP_MD MD_RB RB_VB VB_IN IN_PRP$ PRP$_JJ JJ_NNS NNS_NN,IN_VBG_JJ VBG_JJ_NN JJ_NN_PRP NN_PRP_MD PRP_MD_RB MD_RB_VB RB_VB_IN VB_IN_PRP$ IN_PRP$_JJ PRP$_JJ_NNS JJ_NNS_NN,"S_PP_,_NP_VP_. PP_IN_S S_VP VP_VBG_NP NP_CD_NNS NP_PRP VP_MD_RB_VP VP_VB_PP_ADVP PP_IN_NP NP_PRP$_JJ_NNS ADVP_RB",I could not fit into my old pants anymore,PRP MD RB VB IN PRP$ JJ NNS RB,PRP_MD MD_RB RB_VB VB_IN IN_PRP$ PRP$_JJ JJ_NNS NNS_RB,PRP_MD_RB MD_RB_VB RB_VB_IN VB_IN_PRP$ IN_PRP$_JJ PRP$_JJ_NNS JJ_NNS_RB,S_NP_VP NP_PRP VP_MD_RB_VP VP_VB_PP_ADVP PP_IN_NP NP_PRP$_JJ_NNS ADVP_RB,I could not fit,fit,NN,PRP MD RB VB,PRP_MD MD_RB RB_VB,PRP_MD_RB MD_RB_VB,S_NP_VP NP_PRP VP_MD_RB_VP VP_VB,my old pants anymore,my,PRP$,PRP$ JJ NNS RB,PRP$_JJ JJ_NNS NNS_RB,PRP$_JJ_NNS JJ_NNS_RB,S_NP_ADVP NP_PRP$_JJ_NNS ADVP_RB,into,into,into,IN,IN,IN,x,x,1.0
111,"In the distance, * the hills, there is a nice town.",beyond,within,na,na,1,prepositions,"In the distance, beyond the hills, there is a nice town.",IN DT NN IN DT NN EX VBZ DT JJ NN,IN_DT DT_NN NN_IN IN_DT DT_NN NN_EX EX_VBZ VBZ_DT DT_JJ JJ_NN,IN_DT_NN DT_NN_IN NN_IN_DT IN_DT_NN DT_NN_EX NN_EX_VBZ EX_VBZ_DT VBZ_DT_JJ DT_JJ_NN,"S_PP_,_PP_,_NP_VP_. PP_IN_NP NP_DT_NN PP_IN_NP NP_DT_NNS NP_EX VP_VBZ_NP NP_DT_JJ_NN","In the distance, beyond the hills, there is",IN DT NN IN DT NN EX VBZ,IN_DT DT_NN NN_IN IN_DT DT_NN NN_EX EX_VBZ,IN_DT_NN DT_NN_IN NN_IN_DT IN_DT_NN DT_NN_EX NN_EX_VBZ,"S_PP_,_PP_,_NP_VP PP_IN_NP NP_DT_NN PP_IN_NP NP_DT_NNS NP_EX VP_VBZ","In the distance,","distance,",NN,IN DT NN,IN_DT DT_NN,IN_DT_NN,"PP_IN_NP_, NP_DT_NN","the hills, there is",the,DT,DT NN EX VBZ,DT_NN NN_EX EX_VBZ,DT_NN_EX NN_EX_VBZ,"FRAG_NP_,_S NP_DT_NNS S_NP_VP NP_EX VP_VBZ",beyond,beyond,beyond,IN,IN,IN,x,x,1.0
